HJD,Relative_Flux,Relative_Flux_Uncertainty,Accepted,phase
2453344.6466211,1.009855,0.008501,1,-0.03402870497956201
2453344.6467485,0.989528,0.008168,1,-0.03399256061277356
2453344.6468759,1.00179,0.008869,1,-0.03395641611385258
2453344.6470034,1.003001,0.008082,1,-0.033920243342976164
2453344.6471308,0.978126,0.008656,1,-0.033884098976187715
2453344.6472582,1.002619,0.008184,1,-0.03384795447726674
2453344.6473856,0.989462,0.008427,1,-0.03381181011044987
2453344.6475131,0.984527,0.008408,1,-0.03377563733957345
2453344.6477679,0.979405,0.008129,1,-0.033703348473864025
2453344.6478954,0.99557,0.008844,1,-0.033667175702987606
2453344.6480228,1.00277,0.008061,1,-0.03363103120406663
2453344.6481502,1.009742,0.008645,1,-0.03359488683727818
2453344.6482777,1.018608,0.008177,1,-0.03355871406640176
2453344.6484051,0.983222,0.008421,1,-0.03352256956748079
2453344.6485325,1.001247,0.008406,1,-0.03348642520069234
2453344.64866,0.996791,0.008125,1,-0.03345025242981592
2453344.6489148,0.999239,0.008841,1,-0.033377963564106494
2453344.6490422,1.016874,0.008059,1,-0.033341819197289624
2453344.6491697,1.002413,0.008638,1,-0.0333056462943091
2453344.6492971,0.98167,0.008173,1,-0.03326950192749223
2453344.6494245,0.991202,0.008419,1,-0.03323335756070378
2453344.649552,0.996284,0.008402,1,-0.033197184657723255
2453344.6496794,1.002371,0.008119,1,-0.033161040290906385
2453344.6498068,1.013809,0.008832,1,-0.033124895924117936
2453344.6499343,0.998908,0.008061,1,-0.03308872302113741
2453344.6500617,0.98946,0.008639,1,-0.03305257865432054
2453344.6501891,0.99531,0.008173,1,-0.03301643428753209
2453344.6503166,0.998279,0.008423,1,-0.03298026138455157
2453344.650444,1.006979,0.008403,1,-0.0329441170177347
2453344.6505714,0.993555,0.008124,1,-0.03290797265091783
2453344.6506988,1.000095,0.008841,1,-0.03287182815202527
2453344.6512997,0.997134,0.008059,1,-0.03270134789789836
2453344.651427,1.008165,0.008601,1,-0.03266523193514104
2453344.6515544,1.004224,0.008173,1,-0.03262908743622006
2453344.6516818,0.986087,0.008411,1,-0.03259294306943161
2453344.6518093,1.016548,0.008615,1,-0.03255677029855519
2453344.6520641,0.994963,0.008268,1,-0.03248448143284577
2453344.6521917,0.99857,0.008626,1,-0.0324482802579098
2453344.652319,0.989494,0.008424,1,-0.032412164163048374
2453344.6524464,1.001459,0.008481,1,-0.0323760197962315
2453344.6525738,0.997287,0.008429,1,-0.03233987529733895
2453344.6527013,0.99064,0.008597,1,-0.03230370252646253
2453344.6528287,1.006162,0.008235,1,-0.03226755815964566
2453344.6529561,1.001134,0.008604,1,-0.032231413660724684
2453344.6530837,0.994226,0.008415,1,-0.03219521248581714
2453344.653211,0.995159,0.00847,1,-0.032159096523059816
2453344.6533384,1.003337,0.008424,1,-0.03212295202413884
2453344.6534659,1.002445,0.00859,1,-0.03208677925329084
2453344.6535933,0.989764,0.008548,1,-0.03205063488647397
2453344.6537207,1.007812,0.008233,1,-0.032014490387552996
2453344.6539757,0.992752,0.0086,1,-0.03194214484582858
2453344.6542304,0.993197,0.008413,1,-0.03186988438415028
2453344.6543579,1.008358,0.008468,1,-0.031833711613302285
2453344.6544853,1.00295,0.008422,1,-0.03179756711438131
